patch,width,theme,components,panels,modules,min_width,overflow_cols,fallback_rate,sidebar_hidden,minimap_hidden,min_contrast,degraded
led_pairs_kinds,12,classic,8,1,1,130,118,1.0000,1,1,5.2520,1
droid_mpfs5drum,960,classic,57,4,4,920,0,0.0000,0,0,5.2520,0
influence_outlier,100,mono,20,2,2,324,224,0.0000,0,1,1.0000,1
numbered_led_pairs,100,terminal,2,1,1,34,0,0.0000,0,1,,0
render_outlier_matrix,12,mono,22,3,3,358,346,1.0000,1,1,1.0000,1
graph_topology_error,290,terminal,18,1,1,290,0,0.0000,0,0,,0
optimizer_latency,36,classic,2,2,2,36,0,0.0000,1,1,5.3172,0
multi_module_p2b8,292,classic,36,1,2,292,0,0.0000,0,0,5.2520,0
droid_mpfs5drum,920,classic,57,4,4,920,0,0.0000,0,0,5.2520,0
graph_latency_error,100,classic,18,1,1,290,190,0.0000,0,1,5.2520,1
graph_latency_fanout,120,mono,18,1,1,290,170,0.0000,0,0,1.0000,1
graph_edge_kinds,100,mono,18,1,1,290,190,0.0000,0,1,1.0000,1
alg27_2,120,terminal,37,3,4,440,320,0.0000,0,0,,1
multi_module_p2b8,120,mono,36,1,2,292,172,0.0000,0,0,1.0000,1
graph_topology_error,330,terminal,18,1,1,290,0,0.0000,0,0,,0
switch_value,80,mono,2,1,1,34,0,0.0000,1,1,1.0000,1
arpeggio1,80,terminal,14,2,2,228,148,0.0000,1,1,,1
alg27_2,80,mono,37,3,4,440,360,0.0000,1,1,1.0000,1
multi_module_p2b8,80,classic,36,1,2,292,212,0.0000,1,1,5.2520,1
graph_latency_fanout,290,terminal,18,1,1,290,0,0.0000,0,0,,0
droid_mpfs5drum,12,mono,57,4,4,920,908,1.0000,1,1,1.0000,1
modifier_switch_passthrough,80,mono,21,2,2,340,260,0.0000,1,1,1.0000,1
physical_multirow_rack,12,mono,289,2,17,310,298,1.0000,1,1,1.0000,1
alg27_2,100,terminal,37,3,4,440,340,0.0000,0,1,,1
graph_edge_kinds,120,classic,18,1,1,290,170,0.0000,0,0,5.2520,1
modifier_switch_passthrough,120,terminal,21,2,2,340,220,0.0000,0,0,,1
switch_value,74,classic,2,1,1,34,0,0.0000,1,1,5.3172,0
physical_multirow_rack,350,classic,289,2,17,310,0,0.0000,0,0,5.2520,0
arpeggio1,268,classic,14,2,2,228,0,0.0000,0,0,5.2520,0
graph_latency_chain,100,classic,18,1,1,290,190,0.0000,0,1,5.2520,1
graph_latency_error,100,mono,18,1,1,290,190,0.0000,0,1,1.0000,1
multi_module_p2b8,120,classic,36,1,2,292,172,0.0000,0,0,5.2520,1
label_i4_empty,332,classic,18,2,2,292,0,0.0000,0,0,5.2520,0
numbered_led_pairs,34,classic,2,1,1,34,0,0.0000,1,1,5.2520,0
graph_latency_backedge,120,classic,18,1,1,290,170,0.0000,0,0,5.2520,1
source_navigation,120,terminal,26,2,2,420,300,0.0000,0,0,,1
physical_multirow_rack,80,classic,289,2,17,310,230,0.0000,1,1,5.2520,1
label_i4_empty,12,terminal,18,2,2,292,280,1.0000,1,1,,1
droid_mpfs5drum,120,classic,57,4,4,920,800,0.0000,0,0,5.2520,1
